config,algorithm,problem,suite,N,maxFE,run,seed,finishedFE,runtime,IGD,HV,Feasible_rate,file
"s02_controller_fast","CMOEA-AOP","CF10","CF",100,20000,1,223001,20162,24.5681,0.5014376266891142,0.04069861802349887,1,"CMOEA_AOP_CF10_N100_FE20000_run1_seed223001.mat"
"s02_controller_fast","CMOEA-AOP","CF10","CF",100,20000,2,223002,20156,27.2548,0.4529160938491392,0.07335089311845244,1,"CMOEA_AOP_CF10_N100_FE20000_run2_seed223002.mat"
"s02_controller_fast","CMOEA-AOP","CF10","CF",100,20000,3,223003,20152,7.4602,0.7129812432659524,0,1,"CMOEA_AOP_CF10_N100_FE20000_run3_seed223003.mat"
"s02_controller_fast","CMOEA-AOP","CF1","CF",100,20000,1,222101,20078,13.8049,0.01547758350093368,0.5485633676578009,1,"CMOEA_AOP_CF1_N100_FE20000_run1_seed222101.mat"
"s02_controller_fast","CMOEA-AOP","CF1","CF",100,20000,2,222102,20124,15.0548,0.01009155720110415,0.5538300494505396,1,"CMOEA_AOP_CF1_N100_FE20000_run2_seed222102.mat"
"s02_controller_fast","CMOEA-AOP","CF1","CF",100,20000,3,222103,20064,15.4366,0.01716536194035674,0.5467648530550671,1,"CMOEA_AOP_CF1_N100_FE20000_run3_seed222103.mat"
"s02_controller_fast","CMOEA-AOP","CF2","CF",100,20000,1,222201,20192,14.1765,0.04812409452224624,0.6163762642508887,1,"CMOEA_AOP_CF2_N100_FE20000_run1_seed222201.mat"
"s02_controller_fast","CMOEA-AOP","CF2","CF",100,20000,2,222202,20014,13.7851,0.0390097898928593,0.6189554443910409,1,"CMOEA_AOP_CF2_N100_FE20000_run2_seed222202.mat"
"s02_controller_fast","CMOEA-AOP","CF2","CF",100,20000,3,222203,20100,14.19,0.03502826768900056,0.6233779649687597,1,"CMOEA_AOP_CF2_N100_FE20000_run3_seed222203.mat"
"s02_controller_fast","CMOEA-AOP","CF3","CF",100,20000,1,222301,20074,11.7827,0.2057971727358479,0.1739192445659999,1,"CMOEA_AOP_CF3_N100_FE20000_run1_seed222301.mat"
"s02_controller_fast","CMOEA-AOP","CF3","CF",100,20000,2,222302,20070,10.6228,0.09909136894435187,0.2336951337923375,1,"CMOEA_AOP_CF3_N100_FE20000_run2_seed222302.mat"
"s02_controller_fast","CMOEA-AOP","CF3","CF",100,20000,3,222303,20024,8.0779,0.356721654968229,0.04081253870344706,1,"CMOEA_AOP_CF3_N100_FE20000_run3_seed222303.mat"
"s02_controller_fast","CMOEA-AOP","CF4","CF",100,20000,1,222401,20144,8.8436,0.06659212411277765,0.4389132590907869,1,"CMOEA_AOP_CF4_N100_FE20000_run1_seed222401.mat"
"s02_controller_fast","CMOEA-AOP","CF4","CF",100,20000,2,222402,20118,7.6715,0.07841062582183146,0.4289968248149151,1,"CMOEA_AOP_CF4_N100_FE20000_run2_seed222402.mat"
"s02_controller_fast","CMOEA-AOP","CF4","CF",100,20000,3,222403,20088,8.7858,0.07755243904768358,0.4348290882105059,1,"CMOEA_AOP_CF4_N100_FE20000_run3_seed222403.mat"
"s02_controller_fast","CMOEA-AOP","CF5","CF",100,20000,1,222501,20020,7.4881,0.1601746018854711,0.3202434437399414,1,"CMOEA_AOP_CF5_N100_FE20000_run1_seed222501.mat"
"s02_controller_fast","CMOEA-AOP","CF5","CF",100,20000,2,222502,20150,6.9588,0.3300310963504036,0.2466136650096438,1,"CMOEA_AOP_CF5_N100_FE20000_run2_seed222502.mat"
"s02_controller_fast","CMOEA-AOP","CF5","CF",100,20000,3,222503,20056,7.1541,0.1790121479066854,0.2844788213745454,1,"CMOEA_AOP_CF5_N100_FE20000_run3_seed222503.mat"
