config,algorithm,problem,suite,N,maxFE,run,seed,finishedFE,runtime,IGD,HV,Feasible_rate,file
"s03_credit_fast","CMOEA-AOP","CF10","CF",100,20000,1,214001,20154,22.9199,0.3784789743071594,0.09712697501545813,1,"CMOEA_AOP_CF10_N100_FE20000_run1_seed214001.mat"
"s03_credit_fast","CMOEA-AOP","CF10","CF",100,20000,2,214002,20176,31.8616,0.4277650261174932,0.1216625841795369,1,"CMOEA_AOP_CF10_N100_FE20000_run2_seed214002.mat"
"s03_credit_fast","CMOEA-AOP","CF10","CF",100,20000,3,214003,20064,23.9559,0.373396032115448,0.09265934092987523,1,"CMOEA_AOP_CF10_N100_FE20000_run3_seed214003.mat"
"s03_credit_fast","CMOEA-AOP","CF1","CF",100,20000,1,213101,20048,15.9195,0.007399121700316309,0.5570400914849247,1,"CMOEA_AOP_CF1_N100_FE20000_run1_seed213101.mat"
"s03_credit_fast","CMOEA-AOP","CF1","CF",100,20000,2,213102,20080,15.4401,0.01216425011915746,0.55175390835411,1,"CMOEA_AOP_CF1_N100_FE20000_run2_seed213102.mat"
"s03_credit_fast","CMOEA-AOP","CF1","CF",100,20000,3,213103,20186,16.3124,0.01370397598155201,0.5500132679251377,1,"CMOEA_AOP_CF1_N100_FE20000_run3_seed213103.mat"
"s03_credit_fast","CMOEA-AOP","CF2","CF",100,20000,1,213201,20134,16.2622,0.03696829243425531,0.632866996326266,1,"CMOEA_AOP_CF2_N100_FE20000_run1_seed213201.mat"
"s03_credit_fast","CMOEA-AOP","CF2","CF",100,20000,2,213202,20198,15.3097,0.02833482277948617,0.6435666885742964,1,"CMOEA_AOP_CF2_N100_FE20000_run2_seed213202.mat"
"s03_credit_fast","CMOEA-AOP","CF2","CF",100,20000,3,213203,20104,15.559,0.05029926563683174,0.6105787186292132,1,"CMOEA_AOP_CF2_N100_FE20000_run3_seed213203.mat"
"s03_credit_fast","CMOEA-AOP","CF3","CF",100,20000,1,213301,20112,11.4168,0.4243900894753663,0.1445905452757362,1,"CMOEA_AOP_CF3_N100_FE20000_run1_seed213301.mat"
"s03_credit_fast","CMOEA-AOP","CF3","CF",100,20000,2,213302,20030,12.4824,0.2356061190599967,0.1274240733394678,1,"CMOEA_AOP_CF3_N100_FE20000_run2_seed213302.mat"
"s03_credit_fast","CMOEA-AOP","CF3","CF",100,20000,3,213303,20088,6.7799,0.1460967110107159,0.1754326136927129,1,"CMOEA_AOP_CF3_N100_FE20000_run3_seed213303.mat"
"s03_credit_fast","CMOEA-AOP","CF4","CF",100,20000,1,213401,20132,8.3746,0.07951893943491216,0.4307304820669513,1,"CMOEA_AOP_CF4_N100_FE20000_run1_seed213401.mat"
"s03_credit_fast","CMOEA-AOP","CF4","CF",100,20000,2,213402,20084,9.0173,0.04828427342643821,0.474042022593101,1,"CMOEA_AOP_CF4_N100_FE20000_run2_seed213402.mat"
"s03_credit_fast","CMOEA-AOP","CF4","CF",100,20000,3,213403,20086,9.0309,0.07935026441402898,0.4301197497138544,1,"CMOEA_AOP_CF4_N100_FE20000_run3_seed213403.mat"
"s03_credit_fast","CMOEA-AOP","CF5","CF",100,20000,1,213501,20010,6.2377,0.3542109666720936,0.2096843600923855,1,"CMOEA_AOP_CF5_N100_FE20000_run1_seed213501.mat"
"s03_credit_fast","CMOEA-AOP","CF5","CF",100,20000,2,213502,20120,7.5743,0.2487187667784058,0.3043584687346165,1,"CMOEA_AOP_CF5_N100_FE20000_run2_seed213502.mat"
"s03_credit_fast","CMOEA-AOP","CF5","CF",100,20000,3,213503,20172,6.5359,0.1497477129402022,0.3275401747629152,1,"CMOEA_AOP_CF5_N100_FE20000_run3_seed213503.mat"
"s03_credit_fast","CMOEA-AOP","CF6","CF",100,20000,1,213601,20018,10.2743,0.07166911194068142,0.6286845612720862,1,"CMOEA_AOP_CF6_N100_FE20000_run1_seed213601.mat"
"s03_credit_fast","CMOEA-AOP","CF6","CF",100,20000,2,213602,20086,10.3827,0.1536548548397926,0.6078719027019984,1,"CMOEA_AOP_CF6_N100_FE20000_run2_seed213602.mat"
"s03_credit_fast","CMOEA-AOP","CF6","CF",100,20000,3,213603,20196,10.9538,0.07002570231457593,0.6421389290974944,1,"CMOEA_AOP_CF6_N100_FE20000_run3_seed213603.mat"
"s03_credit_fast","CMOEA-AOP","CF7","CF",100,20000,1,213701,20040,7.1624,0.1842776753374363,0.3988725178287256,1,"CMOEA_AOP_CF7_N100_FE20000_run1_seed213701.mat"
"s03_credit_fast","CMOEA-AOP","CF7","CF",100,20000,2,213702,20182,7.045,0.6127963748081818,0.1036382020901336,1,"CMOEA_AOP_CF7_N100_FE20000_run2_seed213702.mat"
"s03_credit_fast","CMOEA-AOP","CF7","CF",100,20000,3,213703,20148,6.6669,0.137816543221211,0.5315680543501795,1,"CMOEA_AOP_CF7_N100_FE20000_run3_seed213703.mat"
"s03_credit_fast","CMOEA-AOP","CF8","CF",100,20000,1,213801,20044,27.704,0.2499237821935134,0.2700594985205493,1,"CMOEA_AOP_CF8_N100_FE20000_run1_seed213801.mat"
"s03_credit_fast","CMOEA-AOP","CF8","CF",100,20000,2,213802,20168,27.9755,0.2401156279106282,0.2416471047644471,1,"CMOEA_AOP_CF8_N100_FE20000_run2_seed213802.mat"
"s03_credit_fast","CMOEA-AOP","CF8","CF",100,20000,3,213803,20148,27.7882,0.1971923390928126,0.2733840465016105,1,"CMOEA_AOP_CF8_N100_FE20000_run3_seed213803.mat"
"s03_credit_fast","CMOEA-AOP","CF9","CF",100,20000,1,213901,20088,29.4266,0.09813532769718049,0.4215373932286121,1,"CMOEA_AOP_CF9_N100_FE20000_run1_seed213901.mat"
"s03_credit_fast","CMOEA-AOP","CF9","CF",100,20000,2,213902,20208,35.022,0.1187489060715668,0.3944207014194079,1,"CMOEA_AOP_CF9_N100_FE20000_run2_seed213902.mat"
"s03_credit_fast","CMOEA-AOP","CF9","CF",100,20000,3,213903,20176,26.2856,0.1026391472686029,0.4274668892870034,1,"CMOEA_AOP_CF9_N100_FE20000_run3_seed213903.mat"
"s03_credit_fast","CMOEA-AOP","DASCMOP1","DAS-CMOP",100,20000,1,215501,20182,4.0089,0.3349551587041582,0.06752383646199953,1,"CMOEA_AOP_DASCMOP1_N100_FE20000_run1_seed215501.mat"
"s03_credit_fast","CMOEA-AOP","DASCMOP1","DAS-CMOP",100,20000,2,215502,20078,4.4515,0.7515458977742682,0.003719454868584519,1,"CMOEA_AOP_DASCMOP1_N100_FE20000_run2_seed215502.mat"
"s03_credit_fast","CMOEA-AOP","DASCMOP1","DAS-CMOP",100,20000,3,215503,20118,4.063,0.1971484107347915,0.140990135725212,1,"CMOEA_AOP_DASCMOP1_N100_FE20000_run3_seed215503.mat"
"s03_credit_fast","CMOEA-AOP","DASCMOP2","DAS-CMOP",100,20000,1,215601,20170,4.4119,0.1616732201220278,0.2791020972423548,1,"CMOEA_AOP_DASCMOP2_N100_FE20000_run1_seed215601.mat"
"s03_credit_fast","CMOEA-AOP","DASCMOP2","DAS-CMOP",100,20000,2,215602,20016,4.1071,0.1473865304801197,0.2957260415711072,1,"CMOEA_AOP_DASCMOP2_N100_FE20000_run2_seed215602.mat"
"s03_credit_fast","CMOEA-AOP","DASCMOP2","DAS-CMOP",100,20000,3,215603,20018,4.7755,0.2699038384776395,0.2455746844775452,1,"CMOEA_AOP_DASCMOP2_N100_FE20000_run3_seed215603.mat"
"s03_credit_fast","CMOEA-AOP","DASCMOP3","DAS-CMOP",100,20000,1,215701,20170,3.4909,0.2490735216333558,0.2391115012418902,1,"CMOEA_AOP_DASCMOP3_N100_FE20000_run1_seed215701.mat"
"s03_credit_fast","CMOEA-AOP","DASCMOP3","DAS-CMOP",100,20000,2,215702,20052,3.3524,0.05474988247867058,0.2868902762437954,1,"CMOEA_AOP_DASCMOP3_N100_FE20000_run2_seed215702.mat"
"s03_credit_fast","CMOEA-AOP","DASCMOP3","DAS-CMOP",100,20000,3,215703,20046,3.0709,0.2619526807600646,0.2510998541672911,1,"CMOEA_AOP_DASCMOP3_N100_FE20000_run3_seed215703.mat"
"s03_credit_fast","CMOEA-AOP","DASCMOP4","DAS-CMOP",100,20000,1,215801,20166,3.161,NaN,NaN,0,"CMOEA_AOP_DASCMOP4_N100_FE20000_run1_seed215801.mat"
"s03_credit_fast","CMOEA-AOP","DASCMOP4","DAS-CMOP",100,20000,2,215802,20024,3.4116,NaN,NaN,0,"CMOEA_AOP_DASCMOP4_N100_FE20000_run2_seed215802.mat"
"s03_credit_fast","CMOEA-AOP","DASCMOP4","DAS-CMOP",100,20000,3,215803,20032,3.3139,NaN,NaN,0,"CMOEA_AOP_DASCMOP4_N100_FE20000_run3_seed215803.mat"
"s03_credit_fast","CMOEA-AOP","DASCMOP5","DAS-CMOP",100,20000,1,215901,20186,3.2614,NaN,NaN,0,"CMOEA_AOP_DASCMOP5_N100_FE20000_run1_seed215901.mat"
