config,algorithm,problem,suite,N,maxFE,run,seed,finishedFE,runtime,IGD,HV,Feasible_rate,file
"s04_dual_population_fast","CMOEA-AOP","CF10","CF",100,20000,1,225001,20024,21.9606,0.196030895028358,0.26510322565533,1,"CMOEA_AOP_CF10_N100_FE20000_run1_seed225001.mat"
"s04_dual_population_fast","CMOEA-AOP","CF10","CF",100,20000,2,225002,20084,28.2986,0.5146970655189494,0.04816880710949961,1,"CMOEA_AOP_CF10_N100_FE20000_run2_seed225002.mat"
"s04_dual_population_fast","CMOEA-AOP","CF10","CF",100,20000,3,225003,20126,37.2078,0.5197718133561912,0.02346652516492518,1,"CMOEA_AOP_CF10_N100_FE20000_run3_seed225003.mat"
"s04_dual_population_fast","CMOEA-AOP","CF1","CF",100,20000,1,224101,20002,16.0607,0.00658726642314043,0.5581499367015648,1,"CMOEA_AOP_CF1_N100_FE20000_run1_seed224101.mat"
"s04_dual_population_fast","CMOEA-AOP","CF1","CF",100,20000,2,224102,20200,16.7085,0.01911826136104733,0.5437684293666627,1,"CMOEA_AOP_CF1_N100_FE20000_run2_seed224102.mat"
"s04_dual_population_fast","CMOEA-AOP","CF1","CF",100,20000,3,224103,20122,15.5576,0.01300275943661276,0.5503124161663856,1,"CMOEA_AOP_CF1_N100_FE20000_run3_seed224103.mat"
"s04_dual_population_fast","CMOEA-AOP","CF2","CF",100,20000,1,224201,20114,15.0317,0.02699359654308758,0.6417771348666222,1,"CMOEA_AOP_CF2_N100_FE20000_run1_seed224201.mat"
"s04_dual_population_fast","CMOEA-AOP","CF2","CF",100,20000,2,224202,20084,13.6064,0.04733364782074494,0.6142164505091581,1,"CMOEA_AOP_CF2_N100_FE20000_run2_seed224202.mat"
"s04_dual_population_fast","CMOEA-AOP","CF2","CF",100,20000,3,224203,20092,12.2595,0.05904346494145894,0.6151377251643104,1,"CMOEA_AOP_CF2_N100_FE20000_run3_seed224203.mat"
"s04_dual_population_fast","CMOEA-AOP","CF3","CF",100,20000,1,224301,20146,10.9366,0.4168791303745565,0.08306645644956455,1,"CMOEA_AOP_CF3_N100_FE20000_run1_seed224301.mat"
"s04_dual_population_fast","CMOEA-AOP","CF3","CF",100,20000,2,224302,20174,10.7813,0.2742951771985634,0.1535170526259138,1,"CMOEA_AOP_CF3_N100_FE20000_run2_seed224302.mat"
"s04_dual_population_fast","CMOEA-AOP","CF3","CF",100,20000,3,224303,20086,7.2277,0.08425686118897693,0.2375510535284306,1,"CMOEA_AOP_CF3_N100_FE20000_run3_seed224303.mat"
"s04_dual_population_fast","CMOEA-AOP","CF4","CF",100,20000,1,224401,20142,9.4888,0.07661724724317201,0.4351699314107537,1,"CMOEA_AOP_CF4_N100_FE20000_run1_seed224401.mat"
"s04_dual_population_fast","CMOEA-AOP","CF4","CF",100,20000,2,224402,20034,10.1144,0.06299523257095395,0.4571719188935976,1,"CMOEA_AOP_CF4_N100_FE20000_run2_seed224402.mat"
"s04_dual_population_fast","CMOEA-AOP","CF4","CF",100,20000,3,224403,20076,9.2417,0.07489184493958907,0.4376300970846085,1,"CMOEA_AOP_CF4_N100_FE20000_run3_seed224403.mat"
"s04_dual_population_fast","CMOEA-AOP","CF5","CF",100,20000,1,224501,20018,6.6879,0.115143632906197,0.3814618022811106,1,"CMOEA_AOP_CF5_N100_FE20000_run1_seed224501.mat"
"s04_dual_population_fast","CMOEA-AOP","CF5","CF",100,20000,2,224502,20038,4.9327,0.3134060138596603,0.2875099336189021,1,"CMOEA_AOP_CF5_N100_FE20000_run2_seed224502.mat"
"s04_dual_population_fast","CMOEA-AOP","CF5","CF",100,20000,3,224503,20166,7.8179,0.4118051509326983,0.120096565279801,1,"CMOEA_AOP_CF5_N100_FE20000_run3_seed224503.mat"
"s04_dual_population_fast","CMOEA-AOP","CF6","CF",100,20000,1,224601,20184,10.7071,0.05737450085905253,0.6317901192393014,1,"CMOEA_AOP_CF6_N100_FE20000_run1_seed224601.mat"
"s04_dual_population_fast","CMOEA-AOP","CF6","CF",100,20000,2,224602,20014,8.4782,0.1211617770888824,0.6137907441054347,1,"CMOEA_AOP_CF6_N100_FE20000_run2_seed224602.mat"
"s04_dual_population_fast","CMOEA-AOP","CF6","CF",100,20000,3,224603,20068,9.3191,0.09126409223886696,0.6347050864004655,1,"CMOEA_AOP_CF6_N100_FE20000_run3_seed224603.mat"
"s04_dual_population_fast","CMOEA-AOP","CF7","CF",100,20000,1,224701,20006,6.4887,0.2203242812682883,0.442562002791366,1,"CMOEA_AOP_CF7_N100_FE20000_run1_seed224701.mat"
"s04_dual_population_fast","CMOEA-AOP","CF7","CF",100,20000,2,224702,20178,5.6537,0.4250300677676793,0.3044100892015209,1,"CMOEA_AOP_CF7_N100_FE20000_run2_seed224702.mat"
"s04_dual_population_fast","CMOEA-AOP","CF7","CF",100,20000,3,224703,20044,4.8847,0.3441893367169948,0.3153485453890428,1,"CMOEA_AOP_CF7_N100_FE20000_run3_seed224703.mat"
"s04_dual_population_fast","CMOEA-AOP","CF8","CF",100,20000,1,224801,20044,26.6167,0.2220016678330095,0.2869418684117316,1,"CMOEA_AOP_CF8_N100_FE20000_run1_seed224801.mat"
"s04_dual_population_fast","CMOEA-AOP","CF8","CF",100,20000,2,224802,20096,31.2557,0.2911720889378175,0.2088400588339278,1,"CMOEA_AOP_CF8_N100_FE20000_run2_seed224802.mat"
"s04_dual_population_fast","CMOEA-AOP","CF8","CF",100,20000,3,224803,20018,30.6066,0.2074405307117306,0.2905700479056776,1,"CMOEA_AOP_CF8_N100_FE20000_run3_seed224803.mat"
"s04_dual_population_fast","CMOEA-AOP","CF9","CF",100,20000,1,224901,20124,30.9805,0.1290509698730645,0.3813252348860921,1,"CMOEA_AOP_CF9_N100_FE20000_run1_seed224901.mat"
"s04_dual_population_fast","CMOEA-AOP","CF9","CF",100,20000,2,224902,20146,32.0399,0.1152796380521221,0.3892164030960686,1,"CMOEA_AOP_CF9_N100_FE20000_run2_seed224902.mat"
"s04_dual_population_fast","CMOEA-AOP","CF9","CF",100,20000,3,224903,20014,29.1205,0.09641441113474571,0.4249352623527168,1,"CMOEA_AOP_CF9_N100_FE20000_run3_seed224903.mat"
"s04_dual_population_fast","CMOEA-AOP","DASCMOP1","DAS-CMOP",100,20000,1,226501,20184,4.0411,0.3307849996352648,0.1013258484986788,1,"CMOEA_AOP_DASCMOP1_N100_FE20000_run1_seed226501.mat"
"s04_dual_population_fast","CMOEA-AOP","DASCMOP1","DAS-CMOP",100,20000,2,226502,20062,4.1095,0.06211672446226774,0.1804039658286108,1,"CMOEA_AOP_DASCMOP1_N100_FE20000_run2_seed226502.mat"
"s04_dual_population_fast","CMOEA-AOP","DASCMOP1","DAS-CMOP",100,20000,3,226503,20132,4.1084,0.791326960633403,0,1,"CMOEA_AOP_DASCMOP1_N100_FE20000_run3_seed226503.mat"
"s04_dual_population_fast","CMOEA-AOP","DASCMOP2","DAS-CMOP",100,20000,1,226601,20104,4.4786,0.2872272529112346,0.2509979453533498,1,"CMOEA_AOP_DASCMOP2_N100_FE20000_run1_seed226601.mat"
"s04_dual_population_fast","CMOEA-AOP","DASCMOP2","DAS-CMOP",100,20000,2,226602,20064,3.9281,0.1913482960515452,0.2731616512953886,1,"CMOEA_AOP_DASCMOP2_N100_FE20000_run2_seed226602.mat"
"s04_dual_population_fast","CMOEA-AOP","DASCMOP2","DAS-CMOP",100,20000,3,226603,20160,6.0811,0.170902491943951,0.2696147669659341,1,"CMOEA_AOP_DASCMOP2_N100_FE20000_run3_seed226603.mat"
"s04_dual_population_fast","CMOEA-AOP","DASCMOP3","DAS-CMOP",100,20000,1,226701,20142,3.3607,0.07282114803326382,0.2745534889403947,1,"CMOEA_AOP_DASCMOP3_N100_FE20000_run1_seed226701.mat"
"s04_dual_population_fast","CMOEA-AOP","DASCMOP3","DAS-CMOP",100,20000,2,226702,20002,3.4341,0.02333363110189107,0.3065858480711755,1,"CMOEA_AOP_DASCMOP3_N100_FE20000_run2_seed226702.mat"
"s04_dual_population_fast","CMOEA-AOP","DASCMOP3","DAS-CMOP",100,20000,3,226703,20154,3.3215,0.25388095542968,0.2445767067874919,1,"CMOEA_AOP_DASCMOP3_N100_FE20000_run3_seed226703.mat"
"s04_dual_population_fast","CMOEA-AOP","DASCMOP4","DAS-CMOP",100,20000,1,226801,20186,3.2152,0.616228042634602,0.004494416152981268,1,"CMOEA_AOP_DASCMOP4_N100_FE20000_run1_seed226801.mat"
"s04_dual_population_fast","CMOEA-AOP","DASCMOP4","DAS-CMOP",100,20000,2,226802,20184,3.7828,NaN,NaN,0,"CMOEA_AOP_DASCMOP4_N100_FE20000_run2_seed226802.mat"
"s04_dual_population_fast","CMOEA-AOP","DASCMOP4","DAS-CMOP",100,20000,3,226803,20104,3.5427,NaN,NaN,0,"CMOEA_AOP_DASCMOP4_N100_FE20000_run3_seed226803.mat"
"s04_dual_population_fast","CMOEA-AOP","DASCMOP5","DAS-CMOP",100,20000,1,226901,20184,3.7188,NaN,NaN,0,"CMOEA_AOP_DASCMOP5_N100_FE20000_run1_seed226901.mat"
"s04_dual_population_fast","CMOEA-AOP","DASCMOP5","DAS-CMOP",100,20000,2,226902,20068,3.6668,NaN,NaN,0,"CMOEA_AOP_DASCMOP5_N100_FE20000_run2_seed226902.mat"
