config,algorithm,problem,suite,N,maxFE,run,seed,finishedFE,runtime,IGD,HV,Feasible_rate,file
"s05_confirmation","CMOEA-AOP","CF10","CF",100,50000,1,226001,50072,83.5006,0.3510943002417757,0.1695891747114863,1,"CMOEA_AOP_CF10_N100_FE50000_run1_seed226001.mat"
"s05_confirmation","CMOEA-AOP","CF10","CF",100,50000,2,226002,50138,66.8375,0.4014976046957381,0.1814717159180996,1,"CMOEA_AOP_CF10_N100_FE50000_run2_seed226002.mat"
"s05_confirmation","CMOEA-AOP","CF10","CF",100,50000,3,226003,50024,40.6168,0.3143728850819757,0.1626350466059569,1,"CMOEA_AOP_CF10_N100_FE50000_run3_seed226003.mat"
"s05_confirmation","CMOEA-AOP","CF10","CF",100,50000,4,226004,50004,52.7444,0.3735823184148261,0.14092618615455,1,"CMOEA_AOP_CF10_N100_FE50000_run4_seed226004.mat"
"s05_confirmation","CMOEA-AOP","CF10","CF",100,50000,5,226005,50156,47.0673,0.415154919565151,0.09584594413389293,1,"CMOEA_AOP_CF10_N100_FE50000_run5_seed226005.mat"
"s05_confirmation","CMOEA-AOP","CF1","CF",100,50000,1,225101,50008,26.3921,0.007343662098113914,0.5573400249882737,1,"CMOEA_AOP_CF1_N100_FE50000_run1_seed225101.mat"
"s05_confirmation","CMOEA-AOP","CF1","CF",100,50000,2,225102,50008,24.3429,0.007919789739010981,0.5564883932983917,1,"CMOEA_AOP_CF1_N100_FE50000_run2_seed225102.mat"
"s05_confirmation","CMOEA-AOP","CF1","CF",100,50000,3,225103,50054,29.1974,0.008298604380206749,0.5561384316122344,1,"CMOEA_AOP_CF1_N100_FE50000_run3_seed225103.mat"
"s05_confirmation","CMOEA-AOP","CF1","CF",100,50000,4,225104,50148,29.0871,0.007036562847975037,0.5575588574082703,1,"CMOEA_AOP_CF1_N100_FE50000_run4_seed225104.mat"
"s05_confirmation","CMOEA-AOP","CF1","CF",100,50000,5,225105,50020,29.8295,0.006051799123089674,0.5587707134888632,1,"CMOEA_AOP_CF1_N100_FE50000_run5_seed225105.mat"
"s05_confirmation","CMOEA-AOP","CF2","CF",100,50000,1,225201,50032,29.7415,0.01570568177529679,0.6636981779095026,1,"CMOEA_AOP_CF2_N100_FE50000_run1_seed225201.mat"
"s05_confirmation","CMOEA-AOP","CF2","CF",100,50000,2,225202,50138,19.8085,0.0269625452854223,0.6564531112583594,1,"CMOEA_AOP_CF2_N100_FE50000_run2_seed225202.mat"
"s05_confirmation","CMOEA-AOP","CF2","CF",100,50000,3,225203,50066,18.8202,0.05432217299368186,0.6114583851716676,1,"CMOEA_AOP_CF2_N100_FE50000_run3_seed225203.mat"
"s05_confirmation","CMOEA-AOP","CF2","CF",100,50000,4,225204,50072,19.6761,0.01669003241920725,0.6597254347706878,1,"CMOEA_AOP_CF2_N100_FE50000_run4_seed225204.mat"
"s05_confirmation","CMOEA-AOP","CF2","CF",100,50000,5,225205,50052,18.7038,0.01525874161127911,0.6544850762186867,1,"CMOEA_AOP_CF2_N100_FE50000_run5_seed225205.mat"
"s05_confirmation","CMOEA-AOP","CF3","CF",100,50000,1,225301,50170,18.7789,0.3421370851687391,0.1413519222001097,1,"CMOEA_AOP_CF3_N100_FE50000_run1_seed225301.mat"
"s05_confirmation","CMOEA-AOP","CF3","CF",100,50000,2,225302,50166,9.7284,0.2971677712142575,0.1923039507856987,1,"CMOEA_AOP_CF3_N100_FE50000_run2_seed225302.mat"
"s05_confirmation","CMOEA-AOP","CF3","CF",100,50000,3,225303,50018,17.5216,0.1258306173690542,0.1935284893623089,1,"CMOEA_AOP_CF3_N100_FE50000_run3_seed225303.mat"
"s05_confirmation","CMOEA-AOP","CF3","CF",100,50000,4,225304,50196,16.2588,0.1007994471394844,0.2379210326151907,1,"CMOEA_AOP_CF3_N100_FE50000_run4_seed225304.mat"
"s05_confirmation","CMOEA-AOP","CF3","CF",100,50000,5,225305,50080,18.1638,0.2818946448928975,0.1285507457393374,1,"CMOEA_AOP_CF3_N100_FE50000_run5_seed225305.mat"
"s05_confirmation","CMOEA-AOP","CF4","CF",100,50000,1,225401,50042,21.3268,0.05123970752347329,0.463690386689032,1,"CMOEA_AOP_CF4_N100_FE50000_run1_seed225401.mat"
"s05_confirmation","CMOEA-AOP","CF4","CF",100,50000,2,225402,50192,18.2604,0.03542323496100346,0.4837132759313205,1,"CMOEA_AOP_CF4_N100_FE50000_run2_seed225402.mat"
