config,algorithm,problem,suite,N,maxFE,run,seed,phase,generations,FE_start,FE_end,rate_ga,rate_de_rand,rate_de_best,pop1_rate_ga,pop1_rate_de_rand,pop1_rate_de_best,pop2_rate_ga,pop2_rate_de_rand,pop2_rate_de_best,generated_ga,generated_de_rand,generated_de_best,survived_ga,survived_de_rand,survived_de_best,survival_ga,survival_de_rand,survival_de_best,feasible_ga,feasible_de_rand,feasible_de_best,cvscore_ga,cvscore_de_rand,cvscore_de_best,objscore_ga,objscore_de_rand,objscore_de_best,pop1_survival_ga,pop1_survival_de_rand,pop1_survival_de_best,pop2_survival_ga,pop2_survival_de_rand,pop2_survival_de_best,pop1_feasible_ga,pop1_feasible_de_rand,pop1_feasible_de_best,pop2_feasible_ga,pop2_feasible_de_rand,pop2_feasible_de_best
"s05_confirmation","Dual-Feasibility-Explore-AOP","CF10","CF",100,50000,1,286001,"early",61,400,12400,0.5,0,0.5,0.5,0,0.5,0.1999999999999998,0.6000000000000008,0.1999999999999998,4270,3660,4270,999,244,696,0.2339578454332553,0.06666666666666667,0.1629976580796253,0.2615925058548009,0.05054644808743169,0.2515222482435597,0.5399568320178377,0.3267880820930261,0.4999787113943243,0.6290295653779073,0.6194562513462034,0.6086144064850262,0.22,NaN,0.1531147540983606,0.2688524590163934,0.06666666666666667,0.1877049180327869,0.3111475409836065,NaN,0.3042622950819672,0.1377049180327869,0.05054644808743169,0.119672131147541
"s05_confirmation","Dual-Feasibility-Explore-AOP","CF10","CF",100,50000,1,286001,"middle",112,12600,34800,0.5,0,0.5,0.5,0,0.5,0.1999999999999996,0.6000000000000006,0.1999999999999996,7840,6720,7840,856,131,482,0.1091836734693878,0.01949404761904762,0.0614795918367347,0.5752551020408163,0.2852678571428571,0.6090561224489796,0.6631301280905262,0.4344208999440063,0.6839368243380993,0.6191122768750543,0.5390917777851226,0.613016577146815,0.1073214285714286,NaN,0.05928571428571429,0.1138392857142857,0.01949404761904762,0.06696428571428571,0.6498214285714285,NaN,0.6567857142857143,0.3888392857142857,0.2852678571428571,0.4897321428571428
"s05_confirmation","Dual-Feasibility-Explore-AOP","CF10","CF",100,50000,1,286001,"late",76,35000,50000,0.5,0,0.5,0.5,0,0.5,0.1999999999999997,0.6000000000000009,0.1999999999999997,5320,4560,5320,331,57,226,0.06221804511278196,0.0125,0.0424812030075188,0.3990601503759398,0.1791666666666667,0.3866541353383459,0.5188825467700721,0.3599580234095662,0.5177336044626751,0.6399058605554173,0.5867027303066978,0.6339188035702572,0.06447368421052632,NaN,0.04026315789473684,0.05657894736842106,0.0125,0.04802631578947368,0.4484210526315789,NaN,0.4073684210526316,0.2756578947368421,0.1791666666666667,0.3348684210526316
"s05_confirmation","Dual-Feasibility-Explore-AOP","CF10","CF",100,50000,2,286002,"early",61,400,12400,0.5,0,0.5,0.5,0,0.5,0.1999999999999998,0.6000000000000008,0.1999999999999998,4270,3660,4270,1043,262,668,0.2442622950819672,0.07158469945355191,0.156440281030445,0.3091334894613583,0.04590163934426229,0.2508196721311475,0.5533677519215084,0.2815624779555509,0.4749326012899784,0.6380630253747749,0.6895111587261312,0.6160389282382743,0.239344262295082,NaN,0.140655737704918,0.2565573770491803,0.07158469945355191,0.1959016393442623,0.3665573770491803,NaN,0.300655737704918,0.1655737704918033,0.04590163934426229,0.1262295081967213
"s05_confirmation","Dual-Feasibility-Explore-AOP","CF10","CF",100,50000,2,286002,"middle",112,12600,34800,0.5,0,0.5,0.5,0,0.5,0.1999999999999996,0.6000000000000006,0.1999999999999996,7840,6720,7840,902,127,570,0.1150510204081633,0.01889880952380952,0.07270408163265306,0.6568877551020408,0.5220238095238096,0.7794642857142857,0.7342994483572438,0.6260691693580154,0.8316629718774166,0.6114348917743634,0.5730068651684685,0.6283750784589598,0.1153571428571429,NaN,0.07124999999999999,0.1142857142857143,0.01889880952380952,0.07633928571428572,0.7194642857142857,NaN,0.8391071428571428,0.5004464285714286,0.5220238095238096,0.6303571428571428
"s05_confirmation","Dual-Feasibility-Explore-AOP","CF10","CF",100,50000,2,286002,"late",76,35000,50000,0.5,0,0.5,0.5,0,0.5,0.1999999999999997,0.6000000000000009,0.1999999999999997,5320,4560,5320,512,114,407,0.0962406015037594,0.025,0.07650375939849624,0.5428571428571428,0.3506578947368421,0.5853383458646616,0.6511014972367954,0.5017167872516578,0.6775219058869986,0.5439822810453522,0.5011403054384932,0.5585259130915662,0.09815789473684211,NaN,0.08368421052631579,0.09144736842105264,0.025,0.05855263157894737,0.5955263157894737,NaN,0.6242105263157894,0.4111842105263158,0.3506578947368421,0.4881578947368421
"s05_confirmation","Dual-Feasibility-Explore-AOP","CF10","CF",100,50000,3,286003,"early",61,400,12400,0.5,0,0.5,0.5,0,0.5,0.1999999999999998,0.6000000000000008,0.1999999999999998,4270,3660,4270,859,217,564,0.2011709601873536,0.0592896174863388,0.1320843091334895,0.1920374707259953,0.023224043715847,0.1449648711943794,0.4343460266588666,0.2402299882652386,0.3673974792633835,0.6321939320303702,0.6334959264928618,0.6051351082838835,0.1852459016393443,NaN,0.1163934426229508,0.2409836065573771,0.0592896174863388,0.1713114754098361,0.2321311475409836,NaN,0.1711475409836065,0.09180327868852459,0.023224043715847,0.07950819672131147
"s05_confirmation","Dual-Feasibility-Explore-AOP","CF10","CF",100,50000,3,286003,"middle",112,12600,34800,0.5,0,0.5,0.5,0,0.5,0.1999999999999996,0.6000000000000006,0.1999999999999996,7840,6720,7840,887,99,474,0.1131377551020408,0.01473214285714286,0.06045918367346939,0.5043367346938775,0.2875,0.5682397959183674,0.6110212956225926,0.4389847657578776,0.6498337068092774,0.5623113928493344,0.4979558867259712,0.5733244225616241,0.1075,NaN,0.05535714285714285,0.1272321428571428,0.01473214285714286,0.07321428571428572,0.57,NaN,0.6189285714285714,0.3401785714285714,0.2875,0.4415178571428571
"s05_confirmation","Dual-Feasibility-Explore-AOP","CF10","CF",100,50000,3,286003,"late",76,35000,50000,0.5,0,0.5,0.5,0,0.5,0.1999999999999997,0.6000000000000009,0.1999999999999997,5320,4560,5320,596,161,491,0.1120300751879699,0.03530701754385965,0.09229323308270676,0.5543233082706767,0.3732456140350877,0.6086466165413534,0.642240304298859,0.4851422897712854,0.6808922980768651,0.5520425291665357,0.5132817050061379,0.569582051699106,0.1155263157894737,NaN,0.09131578947368421,0.1032894736842105,0.03530701754385965,0.09473684210526316,0.5905263157894737,NaN,0.6442105263157895,0.4638157894736842,0.3732456140350877,0.5197368421052632
"s05_confirmation","Dual-Feasibility-Explore-AOP","CF10","CF",100,50000,4,286004,"early",61,400,12400,0.5,0,0.5,0.5,0,0.5,0.1999999999999998,0.6000000000000008,0.1999999999999998,4270,3660,4270,929,242,655,0.2175644028103045,0.06612021857923497,0.1533957845433255,0.1653395784543326,0.03415300546448088,0.140983606557377,0.5171117180389222,0.310933380302133,0.4583983559267645,0.6240561942851636,0.5992910388748012,0.6038312960200797,0.1911475409836066,NaN,0.1324590163934426,0.2836065573770492,0.06612021857923497,0.2057377049180328,0.200327868852459,NaN,0.1629508196721312,0.0778688524590164,0.03415300546448088,0.0860655737704918
"s05_confirmation","Dual-Feasibility-Explore-AOP","CF10","CF",100,50000,4,286004,"middle",112,12600,34800,0.5,0,0.5,0.5,0,0.5,0.1999999999999996,0.6000000000000006,0.1999999999999996,7840,6720,7840,1057,101,593,0.1348214285714286,0.01502976190476191,0.07563775510204082,0.5739795918367347,0.2212797619047619,0.6255102040816326,0.6825135162694425,0.4134090522230358,0.7151056140400525,0.5796604174425561,0.4879189542452786,0.5881178984678819,0.1335714285714286,NaN,0.07767857142857143,0.1379464285714286,0.01502976190476191,0.07053571428571428,0.6733928571428571,NaN,0.7194642857142857,0.3254464285714286,0.2212797619047619,0.390625
"s05_confirmation","Dual-Feasibility-Explore-AOP","CF10","CF",100,50000,4,286004,"late",76,35000,50000,0.5,0,0.5,0.5,0,0.5,0.1999999999999997,0.6000000000000009,0.1999999999999997,5320,4560,5320,618,166,528,0.1161654135338346,0.03640350877192983,0.09924812030075188,0.6306390977443609,0.4646929824561403,0.7233082706766917,0.698385868539004,0.5466183728935184,0.7673462893824254,0.5375881943937934,0.5207832493655346,0.5661713380491886,0.1118421052631579,NaN,0.1034210526315789,0.1269736842105263,0.03640350877192983,0.08881578947368421,0.6710526315789473,NaN,0.7621052631578947,0.5296052631578947,0.4646929824561403,0.6263157894736842
