config,algorithm,problem,suite,N,maxFE,run,seed,finishedFE,runtime,IGD,HV,Feasible_rate,file
"s06_mechanism","CMOEA-AOP-Trace","CF10","CF",100,50000,1,227001,50028,143.7691,0.4292715574918339,0.1288161234741406,1,"CMOEA_AOP_Trace_CF10_N100_FE50000_run1_seed227001.mat"
"s06_mechanism","CMOEA-AOP-Trace","CF10","CF",100,50000,2,227002,50134,200.5414,0.2028539289281656,0.2553566166543778,1,"CMOEA_AOP_Trace_CF10_N100_FE50000_run2_seed227002.mat"
"s06_mechanism","CMOEA-AOP-Trace","CF10","CF",100,50000,3,227003,50026,160.8513,0.4544959241615212,0.1649730980917749,1,"CMOEA_AOP_Trace_CF10_N100_FE50000_run3_seed227003.mat"
"s06_mechanism","CMOEA-AOP-Trace","CF1","CF",100,50000,1,226101,50108,64.7364,0.00436045618350021,0.5607853573273719,1,"CMOEA_AOP_Trace_CF1_N100_FE50000_run1_seed226101.mat"
"s06_mechanism","CMOEA-AOP-Trace","CF1","CF",100,50000,2,226102,50184,85.584,0.004143252409387446,0.5610683954259776,1,"CMOEA_AOP_Trace_CF1_N100_FE50000_run2_seed226102.mat"
"s06_mechanism","CMOEA-AOP-Trace","CF1","CF",100,50000,3,226103,50092,60.584,0.006551205172554232,0.5581732077444529,1,"CMOEA_AOP_Trace_CF1_N100_FE50000_run3_seed226103.mat"
"s06_mechanism","CMOEA-AOP-Trace","CF2","CF",100,50000,1,226201,50016,63.1473,0.01554766754639025,0.6555700215498484,1,"CMOEA_AOP_Trace_CF2_N100_FE50000_run1_seed226201.mat"
"s06_mechanism","CMOEA-AOP-Trace","CF2","CF",100,50000,2,226202,50030,64.0085,0.02354581624779208,0.6549207985204109,1,"CMOEA_AOP_Trace_CF2_N100_FE50000_run2_seed226202.mat"
"s06_mechanism","CMOEA-AOP-Trace","CF2","CF",100,50000,3,226203,50154,59.8193,0.01504437544162147,0.663491701904353,1,"CMOEA_AOP_Trace_CF2_N100_FE50000_run3_seed226203.mat"
"s06_mechanism","CMOEA-AOP-Trace","CF3","CF",100,50000,1,226301,50114,38.6352,0.2886745279264856,0.1735617209709315,1,"CMOEA_AOP_Trace_CF3_N100_FE50000_run1_seed226301.mat"
"s06_mechanism","CMOEA-AOP-Trace","CF3","CF",100,50000,2,226302,50172,41.2661,0.1030747268698507,0.2676206264480735,1,"CMOEA_AOP_Trace_CF3_N100_FE50000_run2_seed226302.mat"
"s06_mechanism","CMOEA-AOP-Trace","CF3","CF",100,50000,3,226303,50108,36.4164,0.3506802047643314,0.1517509371396789,1,"CMOEA_AOP_Trace_CF3_N100_FE50000_run3_seed226303.mat"
"s06_mechanism","CMOEA-AOP-Trace","CF4","CF",100,50000,1,226401,50196,56.5096,0.06098804497058644,0.4569243162546527,1,"CMOEA_AOP_Trace_CF4_N100_FE50000_run1_seed226401.mat"
"s06_mechanism","CMOEA-AOP-Trace","CF4","CF",100,50000,2,226402,50184,56.4463,0.04404328982764059,0.4788135464139687,1,"CMOEA_AOP_Trace_CF4_N100_FE50000_run2_seed226402.mat"
"s06_mechanism","CMOEA-AOP-Trace","CF4","CF",100,50000,3,226403,50076,51.679,0.07300622368266645,0.4417099878191208,1,"CMOEA_AOP_Trace_CF4_N100_FE50000_run3_seed226403.mat"
"s06_mechanism","CMOEA-AOP-Trace","CF5","CF",100,50000,1,226501,50148,51.1712,0.1299493949444276,0.3781481973840036,1,"CMOEA_AOP_Trace_CF5_N100_FE50000_run1_seed226501.mat"
"s06_mechanism","CMOEA-AOP-Trace","CF5","CF",100,50000,2,226502,50142,46.273,0.2081499142487576,0.307957985179891,1,"CMOEA_AOP_Trace_CF5_N100_FE50000_run2_seed226502.mat"
"s06_mechanism","CMOEA-AOP-Trace","CF5","CF",100,50000,3,226503,50188,50.4538,0.0979006898811771,0.4115244080470551,1,"CMOEA_AOP_Trace_CF5_N100_FE50000_run3_seed226503.mat"
"s06_mechanism","CMOEA-AOP-Trace","CF6","CF",100,50000,1,226601,50034,61.9748,0.04975787251325219,0.6536996927330482,1,"CMOEA_AOP_Trace_CF6_N100_FE50000_run1_seed226601.mat"
"s06_mechanism","CMOEA-AOP-Trace","CF6","CF",100,50000,2,226602,50188,58.9545,0.02969628169827372,0.6684253417697567,1,"CMOEA_AOP_Trace_CF6_N100_FE50000_run2_seed226602.mat"
