config,algorithm,problem,suite,N,maxFE,run,seed,phase,generations,FE_start,FE_end,rate_ga,rate_de_rand,rate_de_best,pop1_rate_ga,pop1_rate_de_rand,pop1_rate_de_best,pop2_rate_ga,pop2_rate_de_rand,pop2_rate_de_best,generated_ga,generated_de_rand,generated_de_best,survived_ga,survived_de_rand,survived_de_best,survival_ga,survival_de_rand,survival_de_best,feasible_ga,feasible_de_rand,feasible_de_best,cvscore_ga,cvscore_de_rand,cvscore_de_best,objscore_ga,objscore_de_rand,objscore_de_best,pop1_survival_ga,pop1_survival_de_rand,pop1_survival_de_best,pop2_survival_ga,pop2_survival_de_rand,pop2_survival_de_best,pop1_feasible_ga,pop1_feasible_de_rand,pop1_feasible_de_best,pop2_feasible_ga,pop2_feasible_de_rand,pop2_feasible_de_best
"s07_dual_role_credit","Dual-Role-Credit-AOP-v1","CF10","CF",100,50000,1,278001,"all",249,400,50000,0.347981525950701,0.2762655760043577,0.3757528980449413,0.3479815259507009,0.2762655760043576,0.3757528980449413,0.3649172913174541,0.2799396381183789,0.355143070564167,17753,13841,18206,2887,826,2557,0.1626204021855461,0.05967776894733039,0.1404482038888279,0.5297132878950037,0.4808901090961636,0.6796660441612655,0.6434758086552735,0.5720092967632223,0.7540115423521802,0.5710757296020317,0.5350453139478936,0.5794171259576111,0.1665705387011189,0.06706430026185627,0.1454526023298066,0.1588507265521797,0.0523898378068035,0.1351565148604362,0.6199100242242473,0.5571719522839685,0.7740728866089559,0.4436371642448261,0.4056265250466485,0.5798395298903831
"s07_dual_role_credit","Dual-Role-Credit-AOP-v1","CF10","CF",100,50000,2,278002,"all",249,400,50000,0.3594281954399033,0.2879554825479079,0.3526163220121889,0.3594281954399033,0.2879554825479077,0.3526163220121889,0.3800218102918154,0.2891223126252837,0.330855877082901,18434,14358,17008,2271,487,1136,0.1231962677660844,0.03391837303245578,0.06679209783631232,0.3328631875881523,0.2960022287226633,0.3954609595484478,0.5205883348200829,0.456862324494772,0.5505279605990574,0.7892941174385497,0.7475365896962343,0.7750771126658248,0.1177455357142857,0.03727488482479408,0.06448672667198359,0.1283512771796496,0.0305767894371091,0.06925039484874256,0.4573660714285714,0.4200753874075108,0.508829896319927,0.2151150517204982,0.1724808895066018,0.2745717409792249
"s07_dual_role_credit","Dual-Role-Credit-AOP-v1","CF10","CF",100,50000,3,278003,"all",249,400,50000,0.3795302901960784,0.2728427741636975,0.3476269356402244,0.3795302901960782,0.2728427741636977,0.3476269356402246,0.3629794082508888,0.3100900084472624,0.3269305833018485,18487,14498,16815,2355,440,1062,0.1273868123546276,0.03034901365705615,0.06315789473684211,0.3287715692107968,0.2310663539798593,0.3405292893250074,0.5027511369734921,0.4100189534221946,0.5060472596044832,0.7403634776901004,0.7603866138152385,0.7475824498525891,0.1339824320033866,0.03641456582633053,0.06772035071527457,0.1204912591281257,0.02501620220349968,0.05830367006259973,0.419832786538258,0.3006044523072387,0.4148592524227042,0.2335693737552556,0.1699287103046014,0.2614459310175525
"s07_dual_role_credit","Dual-Role-Credit-AOP-v1","CF10","CF",100,50000,4,278004,"all",249,400,50000,0.3562000356081619,0.2664686731870098,0.3773312912048284,0.3562000356081618,0.2664686731870097,0.3773312912048283,0.3636242342840303,0.2783199429167789,0.3580558227991909,17926,13556,18318,3201,918,3044,0.1785674439361821,0.06771909117733844,0.1661753466535648,0.5780988508311949,0.4946149306580112,0.7022054809477017,0.6672697683042744,0.5696724391629432,0.7622175985154253,0.5714277637626183,0.53075279415578,0.5791194403999903,0.1779555956271836,0.0669481302774427,0.1731772219265567,0.1791671269192533,0.0684575389948007,0.1588030931301132,0.6542319395920208,0.5496079613992763,0.76551357104843,0.5034795095548437,0.4419410745233969,0.6355485823153648
"s07_dual_role_credit","Dual-Role-Credit-AOP-v1","CF10","CF",100,50000,5,278005,"all",249,400,50000,0.3575633235404005,0.2698402085338226,0.3725964679257769,0.3575633235404005,0.2698402085338224,0.3725964679257769,0.3552149866377729,0.3004102199395429,0.3443747934226842,17759,14195,17846,3016,861,2552,0.1698293822850386,0.0606551602676999,0.143001232769248,0.493777802804212,0.4362803804156393,0.6275355822032949,0.6229478013055763,0.5458943211209669,0.7137079568420729,0.6645767134708096,0.6491493622735537,0.6720787997885206,0.1842164346654692,0.06997171356260236,0.1631266846361186,0.1553496780024856,0.05228670767584916,0.1212227278030568,0.6468343062415806,0.5468214976924222,0.7581671159029649,0.3397356230934357,0.3369884995988232,0.4861743087154358
"s07_dual_role_credit","Dual-Role-Credit-AOP-v1","CF1","CF",100,50000,1,277101,"all",249,400,50000,0.3362789744256688,0.3227095299607671,0.3410114956135641,0.3362789744256688,0.3227095299607671,0.3410114956135644,0.3131015666149615,0.367907982871953,0.3189904505130852,16170,17189,16441,1209,2599,1717,0.07476808905380333,0.1512013497003898,0.1044340368590718,0.2570191713048856,0.1218220955262086,0.239766437564625,0.7801633331822643,0.7355470515851575,0.7687575002678593,0.6008025025065737,0.6429627577519024,0.6131577824431715,0.07521489971346705,0.17648524100137,0.1316068275456151,0.07428791377983064,0.1290393013100437,0.07538384092625221,0.3290353390639923,0.2255573545896127,0.3163037080635668,0.1796253528355145,0.03089519650655022,0.15794110244148
"s07_dual_role_credit","Dual-Role-Credit-AOP-v1","CF1","CF",100,50000,2,277102,"all",249,400,50000,0.3240776011580707,0.33146753698606,0.3444548618558694,0.3240776011580708,0.3314675369860599,0.3444548618558697,0.3137164253225391,0.3703019242267161,0.3159816504507452,15895,17462,16443,1268,2953,1966,0.07977351368354829,0.1691100675753064,0.1195645563461655,0.2517143755898081,0.1340052685832092,0.2554886577875083,0.7805216834020906,0.7436985984554124,0.7748414449752689,0.5971933131133493,0.6401327822469847,0.6102154950243093,0.07800891530460624,0.2029829028737723,0.1587967820916404,0.08159611203478706,0.1387954422137819,0.07678616831934909,0.3148836057454185,0.2466351400509276,0.3357817418677859,0.1864688579102187,0.03320672816060771,0.1679379608441393
"s07_dual_role_credit","Dual-Role-Credit-AOP-v1","CF1","CF",100,50000,3,277103,"all",249,400,50000,0.3161277067058129,0.33356599316781,0.3503063001263771,0.3161277067058129,0.3335659931678098,0.350306300126377,0.3109408353527061,0.3716799962979305,0.3173791683493632,15604,17573,16623,1306,3249,2411,0.08369648807997949,0.1848859045126046,0.145040004812609,0.2587798000512689,0.1537017014738519,0.2802141611020875,0.7809869438815836,0.7515871478757536,0.7836656165395176,0.5997240131472301,0.6424746676978101,0.6138269059746059,0.09512908559074144,0.2383986535224814,0.2079366899873839,0.07208371011497222,0.1367909238249595,0.0756578947368421,0.3379117385221925,0.2823996152921375,0.37641931414153,0.1784007234207467,0.03803349540788763,0.1740890688259109
"s07_dual_role_credit","Dual-Role-Credit-AOP-v1","CF1","CF",100,50000,4,277104,"all",249,400,50000,0.3350922635689818,0.3186730736828109,0.3462346627482075,0.3350922635689818,0.3186730736828106,0.3462346627482075,0.314861507616788,0.370899218959918,0.3142392734232941,16177,17160,16463,1171,2602,1684,0.07238672188910181,0.1516317016317016,0.102289983599587,0.2525808246275577,0.1214452214452214,0.2598554333961003,0.7781556179022537,0.7385571017214735,0.7779703545529929,0.6057729441489532,0.6472010739309106,0.6158237323183408,0.07198560287942411,0.1724442203453927,0.133920296570899,0.07281305789339454,0.133737942993389,0.06742433916485761,0.3358128374325135,0.2267742342115215,0.3448795180722892,0.1641162968630451,0.03088761244174705,0.1661345932831056
"s07_dual_role_credit","Dual-Role-Credit-AOP-v1","CF1","CF",100,50000,5,277105,"all",249,400,50000,0.3293454663929938,0.320355694610009,0.3502988389969973,0.3293454663929938,0.3203556946100091,0.3502988389969975,0.312748396957037,0.3725033906286551,0.3147482124143074,15981,17266,16553,1243,2849,1987,0.07777986358801077,0.1650063709023514,0.1200386636863408,0.2623740692071835,0.1290397312637554,0.2746329970398115,0.7840719858882531,0.7422390236641122,0.7823028048987638,0.600973854729117,0.6430455510054492,0.6139683331505773,0.08454312553373185,0.1983471074380165,0.1669152231272227,0.07065775950668036,0.1363146551724138,0.06789178152118427,0.3472001951933634,0.2409216128224393,0.3642308133532178,0.1730472764645427,0.03275862068965518,0.1749617151607963
"s07_dual_role_credit","Dual-Role-Credit-AOP-v1","CF2","CF",100,50000,1,277201,"all",249,400,50000,0.3395878044657716,0.3327566049256285,0.3276555906085999,0.3395878044657715,0.3327566049256283,0.3276555906085998,0.3637986576536227,0.3072710391395537,0.3289303032068233,17520,15928,16352,1497,649,687,0.08544520547945206,0.04074585635359116,0.04201320939334638,0.8043949771689498,0.8601205424409845,0.8431384540117417,0.9914545993639214,0.9940511732100665,0.9929263335486624,0.7310885844247825,0.6429820675178675,0.6992407116184106,0.09556999409332546,0.03953094777562863,0.04189636163175303,0.07598012147984538,0.04205851619644723,0.04212968616436683,0.8978145304193739,0.9110251450676983,0.8819061619502634,0.7170623964660409,0.8051201671891327,0.8044938331908658
"s07_dual_role_credit","Dual-Role-Credit-AOP-v1","CF2","CF",100,50000,2,277202,"all",249,400,50000,0.3373427569205927,0.3337351419005075,0.3289221011788998,0.337342756920593,0.3337351419005073,0.3289221011788997,0.3673099911626055,0.3049520706678761,0.3277379381695184,17547,15903,16350,1545,672,727,0.08804923918618568,0.04225617807960762,0.04446483180428135,0.7894226933378925,0.8596491228070176,0.8384097859327218,0.9909389532778987,0.9940180862226711,0.9926385754148194,0.7418067314063697,0.6453884808611422,0.7014318053652645,0.09676267555343966,0.04319056785370549,0.04837527485951625,0.08004373974849645,0.04123303912527994,0.0405438510534052,0.8753868126636515,0.9051973051010587,0.8752748595162473,0.7104428649535265,0.8097747332367277,0.8014453699167075
"s07_dual_role_credit","Dual-Role-Credit-AOP-v1","CF2","CF",100,50000,3,277203,"all",249,400,50000,0.3331614876291419,0.337011626793279,0.3298268855775791,0.3331614876291419,0.3370116267932791,0.3298268855775791,0.3711236498130281,0.301049332839189,0.3278270173477828,17531,15888,16381,1426,749,808,0.0813416234099595,0.04714249748237664,0.04932543800744765,0.7275683075694485,0.8289904330312186,0.8055674256760882,0.9882394715085298,0.9928475872117736,0.9913935559307143,0.7794555043672172,0.6588474752212145,0.7294160895740247,0.08604483007953724,0.04855063819634976,0.05621121790972138,0.07711469728149031,0.04556962025316456,0.04239157069345749,0.8551458182694626,0.9100560658475486,0.8644603966419272,0.6129102133651034,0.7384410393071286,0.7462631707914726
"s07_dual_role_credit","Dual-Role-Credit-AOP-v1","CF2","CF",100,50000,4,277204,"all",249,400,50000,0.3376441451007288,0.3312621467856243,0.331093708113647,0.3376441451007288,0.3312621467856243,0.331093708113647,0.37058820196309,0.3023141398843493,0.3270976581525612,17640,15775,16385,1374,640,696,0.07789115646258503,0.04057052297939778,0.04247787610619469,0.7744897959183673,0.84,0.8351541043637474,0.9902172704674728,0.99333870931767,0.9925302059449023,0.7448151144429062,0.650533474842916,0.7003370459547119,0.08337297811607992,0.04024242424242424,0.0473186119873817,0.07289861351819757,0.04093023255813953,0.03757828810020877,0.8747621313035204,0.8795151515151515,0.8735743751516623,0.6831672443674177,0.7966777408637874,0.7962667321625937
"s07_dual_role_credit","Dual-Role-Credit-AOP-v1","CF2","CF",100,50000,5,277205,"all",249,400,50000,0.3368750234163074,0.3346605848079838,0.3284643917757089,0.3368750234163074,0.3346605848079836,0.3284643917757089,0.3689210404031898,0.3032353875074927,0.3278435720893175,17568,15890,16342,1319,626,598,0.07507969034608379,0.03939584644430459,0.03659282829519031,0.7929758652094717,0.8816236626809314,0.8492228613388814,0.9910027784036904,0.9947563345743082,0.9930262199617884,0.7397799674853245,0.6323928001431873,0.6940986816859299,0.08283599904511817,0.03994242533285355,0.03897373243738546,0.06800870511425462,0.03879253276843638,0.03420375137918352,0.8869658629744569,0.9130382631642078,0.8808796579108125,0.7072905331882481,0.8469482324904012,0.8174573985533897
"s07_dual_role_credit","Dual-Role-Credit-AOP-v1","CF3","CF",100,50000,1,277301,"all",249,400,50000,0.3409244274245417,0.3275948867775355,0.3314806857979229,0.3409244274245417,0.3275948867775353,0.3314806857979229,0.3798640626614194,0.271192468688268,0.3489434686503131,17942,14920,16938,2838,589,2101,0.15817634600379,0.03947721179624665,0.1240406187271225,0.9216363839036896,0.936260053619303,0.897390482937773,0.9869374710304604,0.9914040777433781,0.9832090279590584,0.875959222862415,0.7503422225461061,0.8381515918332677,0.1376060320452403,0.03908355795148248,0.1059393939393939,0.1766448064311402,0.03995264871263687,0.1412292817679558,0.9350848256361922,0.9473168341092869,0.9121212121212121,0.9095620901205839,0.9229061852619118,0.883402394106814
"s07_dual_role_credit","Dual-Role-Credit-AOP-v1","CF3","CF",100,50000,2,277302,"all",249,400,50000,0.3375332043862723,0.3313821622247797,0.3310846333889481,0.3375332043862721,0.3313821622247794,0.3310846333889482,0.3679483185839957,0.3095490654823987,0.3225026159336056,17571,15951,16278,1685,733,794,0.09589664788572079,0.04595323177230268,0.04877749109227178,0.9775197769051278,0.9825716256034105,0.9859933652782897,0.9953164700256322,0.9971954179898926,0.9975990613814112,0.8217722208411437,0.7473687020809995,0.7700845563600944,0.091773656680932,0.04741117982296593,0.04501880839703919,0.09968337154711213,0.04439252336448598,0.05263157894736842,0.9826438421302901,0.9864193039893294,0.987744205800267,0.9728136259416967,0.9784527518172378,0.9841980838621376
