algorithm,problem,suite,strict_igd,mean_igd,mean_hv,mean_feasible,bad_runs,runs
CMOEA-AOP,CF1,CF,0.0053455793129444,0.0053455793129444,0.5595942553688195,1.0000000000000000,0,5
CMOEA-AOP,CF2,CF,0.0246201081847985,0.0246201081847985,0.6490875639694258,1.0000000000000000,0,5
CMOEA-AOP,CF3,CF,0.2081237635722127,0.2081237635722127,0.2061638142947191,1.0000000000000000,0,5
CMOEA-AOP,CF4,CF,0.0704838874967139,0.0704838874967139,0.4445549798955490,1.0000000000000000,0,5
CMOEA-AOP,CF5,CF,0.3630925510492159,0.3630925510492159,0.2656665238825064,1.0000000000000000,0,5
CMOEA-AOP,CF6,CF,0.0598887751957401,0.0598887751957401,0.6495941723679912,1.0000000000000000,0,5
CMOEA-AOP,CF7,CF,0.1517371983642629,0.1517371983642629,0.5389995102349359,1.0000000000000000,0,5
CMOEA-AOP,CF8,CF,0.1670370985746806,0.1670370985746806,0.3505420110159950,1.0000000000000000,0,5
CMOEA-AOP,CF9,CF,0.0972511455952623,0.0972511455952623,0.4310641848169862,1.0000000000000000,0,5
CMOEA-AOP,CF10,CF,0.4070340992897105,0.4070340992897105,0.1137864690601290,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP1,LIR-CMOP,0.2453308894121545,0.2453308894121545,0.1395304952358481,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP2,LIR-CMOP,0.1437231187364972,0.1437231187364972,0.2835958028163384,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP3,LIR-CMOP,0.1952803013641623,0.1952803013641623,0.1339515981424660,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP4,LIR-CMOP,0.2019840545260487,0.2019840545260487,0.2310823805898508,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP5,LIR-CMOP,0.8212311981119453,0.8212311981119453,0.0599263403059471,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP6,LIR-CMOP,0.3436409845384777,0.3436409845384777,0.1166063396864222,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP7,LIR-CMOP,0.0417741840072878,0.0417741840072878,0.2785560460211812,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP8,LIR-CMOP,0.0655878209700198,0.0655878209700198,0.2700830962834209,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP9,LIR-CMOP,0.4765273441391648,0.4765273441391648,0.3692666540830327,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP10,LIR-CMOP,0.2328842197144670,0.2328842197144670,0.5887071472168751,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP11,LIR-CMOP,0.0974301500355233,0.0974301500355233,0.6303880113878131,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP12,LIR-CMOP,0.2090655462584984,0.2090655462584984,0.5011414854885713,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP13,LIR-CMOP,0.0994812140581639,0.0994812140581639,0.5410822156748700,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP14,LIR-CMOP,0.0971795493582184,0.0971795493582184,0.5503988203990514,1.0000000000000000,0,5
CMOEA-AOP,DASCMOP1,DAS-CMOP,0.1728872182202847,0.1728872182202847,0.1536936311883965,1.0000000000000000,0,5
CMOEA-AOP,DASCMOP2,DAS-CMOP,0.0532939237314527,0.0532939237314527,0.3329291618353495,1.0000000000000000,0,5
CMOEA-AOP,DASCMOP3,DAS-CMOP,0.0274926589109952,0.0274926589109952,0.3041203911635274,1.0000000000000000,0,5
CMOEA-AOP,DASCMOP4,DAS-CMOP,Inf,0.3209065207643533,0.0822689575093049,0.6000000000000000,2,5
