config,algorithm,problem,suite,N,maxFE,run,seed,finishedFE,runtime,IGD,HV,Feasible_rate,file
"s08_role_separation","CMOEA-AOP","CF10","CF",100,50000,1,219001,50132,36.5128,0.410918417782704,0.1226232171518119,1,"CMOEA_AOP_CF10_N100_FE50000_run1_seed219001.mat"
"s08_role_separation","CMOEA-AOP","CF10","CF",100,50000,2,219002,50050,75.0035,0.3396277295506993,0.1252256135354465,1,"CMOEA_AOP_CF10_N100_FE50000_run2_seed219002.mat"
"s08_role_separation","CMOEA-AOP","CF10","CF",100,50000,3,219003,50042,38.0705,0.4369854029276483,0.09126494969124603,1,"CMOEA_AOP_CF10_N100_FE50000_run3_seed219003.mat"
"s08_role_separation","CMOEA-AOP","CF10","CF",100,50000,4,219004,50192,67.958,0.2471728590936529,0.2049211466464474,1,"CMOEA_AOP_CF10_N100_FE50000_run4_seed219004.mat"
"s08_role_separation","CMOEA-AOP","CF10","CF",100,50000,5,219005,50016,66.7338,0.6004660870938477,0.02489741827569301,1,"CMOEA_AOP_CF10_N100_FE50000_run5_seed219005.mat"
"s08_role_separation","CMOEA-AOP","CF1","CF",100,50000,1,218101,50100,29.7349,0.005406490125509656,0.5594632900571611,1,"CMOEA_AOP_CF1_N100_FE50000_run1_seed218101.mat"
"s08_role_separation","CMOEA-AOP","CF1","CF",100,50000,2,218102,50072,29.6311,0.008828982677405714,0.5554165590715476,1,"CMOEA_AOP_CF1_N100_FE50000_run2_seed218102.mat"
"s08_role_separation","CMOEA-AOP","CF1","CF",100,50000,3,218103,50212,28.7299,0.003228475481973696,0.5621649169976866,1,"CMOEA_AOP_CF1_N100_FE50000_run3_seed218103.mat"
"s08_role_separation","CMOEA-AOP","CF1","CF",100,50000,4,218104,50136,30.1139,0.005224512883553335,0.5597538623191656,1,"CMOEA_AOP_CF1_N100_FE50000_run4_seed218104.mat"
"s08_role_separation","CMOEA-AOP","CF1","CF",100,50000,5,218105,50024,27.9594,0.004039435396279418,0.5611726483985368,1,"CMOEA_AOP_CF1_N100_FE50000_run5_seed218105.mat"
"s08_role_separation","CMOEA-AOP","CF2","CF",100,50000,1,218201,50048,30.1219,0.03833262312441515,0.6362933109660482,1,"CMOEA_AOP_CF2_N100_FE50000_run1_seed218201.mat"
"s08_role_separation","CMOEA-AOP","CF2","CF",100,50000,2,218202,50020,16.5404,0.02261411900674761,0.6476791918955723,1,"CMOEA_AOP_CF2_N100_FE50000_run2_seed218202.mat"
"s08_role_separation","CMOEA-AOP","CF2","CF",100,50000,3,218203,50140,17.3087,0.02688997813059901,0.6519352534185586,1,"CMOEA_AOP_CF2_N100_FE50000_run3_seed218203.mat"
"s08_role_separation","CMOEA-AOP","CF2","CF",100,50000,4,218204,50096,18.1353,0.01552628747796989,0.6510050633588785,1,"CMOEA_AOP_CF2_N100_FE50000_run4_seed218204.mat"
"s08_role_separation","CMOEA-AOP","CF2","CF",100,50000,5,218205,50196,19.0561,0.01973753318426063,0.658525000208071,1,"CMOEA_AOP_CF2_N100_FE50000_run5_seed218205.mat"
"s08_role_separation","CMOEA-AOP","CF3","CF",100,50000,1,218301,50004,13.1528,0.2282178489373265,0.1701847385172842,1,"CMOEA_AOP_CF3_N100_FE50000_run1_seed218301.mat"
"s08_role_separation","CMOEA-AOP","CF3","CF",100,50000,2,218302,50044,12.6639,0.1098663437669439,0.2671468936911747,1,"CMOEA_AOP_CF3_N100_FE50000_run2_seed218302.mat"
"s08_role_separation","CMOEA-AOP","CF3","CF",100,50000,3,218303,50144,17.4975,0.3464830553255122,0.1586085499917608,1,"CMOEA_AOP_CF3_N100_FE50000_run3_seed218303.mat"
"s08_role_separation","CMOEA-AOP","CF3","CF",100,50000,4,218304,50182,12.2719,0.08082095236984048,0.2534316863778084,1,"CMOEA_AOP_CF3_N100_FE50000_run4_seed218304.mat"
"s08_role_separation","CMOEA-AOP","CF3","CF",100,50000,5,218305,50062,16.3593,0.2752306174614402,0.1814472028955673,1,"CMOEA_AOP_CF3_N100_FE50000_run5_seed218305.mat"
"s08_role_separation","CMOEA-AOP","CF4","CF",100,50000,1,218401,50152,17.8859,0.06278842319948631,0.4502447444123942,1,"CMOEA_AOP_CF4_N100_FE50000_run1_seed218401.mat"
"s08_role_separation","CMOEA-AOP","CF4","CF",100,50000,2,218402,50138,17.5475,0.07387456654839468,0.4408993201445544,1,"CMOEA_AOP_CF4_N100_FE50000_run2_seed218402.mat"
"s08_role_separation","CMOEA-AOP","CF4","CF",100,50000,3,218403,50166,17.9195,0.07269852135383481,0.4469540843051552,1,"CMOEA_AOP_CF4_N100_FE50000_run3_seed218403.mat"
"s08_role_separation","CMOEA-AOP","CF4","CF",100,50000,4,218404,50080,16.1804,0.07632955056763439,0.4432191840547412,1,"CMOEA_AOP_CF4_N100_FE50000_run4_seed218404.mat"
"s08_role_separation","CMOEA-AOP","CF4","CF",100,50000,5,218405,50084,16.483,0.06672837581421934,0.4414575665608999,1,"CMOEA_AOP_CF4_N100_FE50000_run5_seed218405.mat"
