algorithm,problem,suite,strict_igd,mean_igd,mean_hv,mean_feasible,bad_runs,runs
BiSCOP-CMOEA,CF1,CF,0.0026287482194871,0.0026287482194871,0.5629084052481115,1.0000000000000000,0,10
BiSCOP-CMOEA,CF2,CF,0.0117054109770824,0.0117054109770824,0.6683294984872686,1.0000000000000000,0,10
BiSCOP-CMOEA,CF3,CF,0.1406582134142495,0.1406582134142495,0.2611473389688960,1.0000000000000000,0,10
BiSCOP-CMOEA,CF4,CF,0.0495897900798306,0.0495897900798306,0.4712907162957961,1.0000000000000000,0,10
BiSCOP-CMOEA,CF5,CF,0.1543379974824189,0.1543379974824189,0.3778899230993465,1.0000000000000000,0,10
BiSCOP-CMOEA,CF6,CF,0.0445712443417146,0.0445712443417146,0.6659802963380990,1.0000000000000000,0,10
BiSCOP-CMOEA,CF7,CF,0.1812858817435494,0.1812858817435494,0.5271080211167691,1.0000000000000000,0,10
BiSCOP-CMOEA,CF8,CF,0.1534491009595042,0.1534491009595042,0.3628012193068526,1.0000000000000000,0,10
BiSCOP-CMOEA,CF9,CF,0.0894354749260133,0.0894354749260133,0.4336283299901559,1.0000000000000000,0,10
BiSCOP-CMOEA,CF10,CF,0.3390201670963143,0.3390201670963143,0.1979417824347919,1.0000000000000000,0,10
BiSCOP-CMOEA,LIRCMOP1,LIR-CMOP,0.2324837625136197,0.2324837625136197,0.1357492359314975,1.0000000000000000,0,10
BiSCOP-CMOEA,LIRCMOP2,LIR-CMOP,0.1461616673199027,0.1461616673199027,0.2857467609122805,1.0000000000000000,0,10
BiSCOP-CMOEA,LIRCMOP3,LIR-CMOP,0.2304015684511913,0.2304015684511913,0.1229173563701394,1.0000000000000000,0,10
BiSCOP-CMOEA,LIRCMOP4,LIR-CMOP,0.2105824422581812,0.2105824422581812,0.2267450896471880,1.0000000000000000,0,10
BiSCOP-CMOEA,LIRCMOP5,LIR-CMOP,0.0158868646708572,0.0158868646708572,0.2862967746880976,1.0000000000000000,0,10
BiSCOP-CMOEA,LIRCMOP6,LIR-CMOP,0.0133959758533114,0.0133959758533114,0.1941854900417466,1.0000000000000000,0,10
BiSCOP-CMOEA,LIRCMOP7,LIR-CMOP,0.0087143608583252,0.0087143608583252,0.2935941774517720,1.0000000000000000,0,10
BiSCOP-CMOEA,LIRCMOP8,LIR-CMOP,0.0080634696620596,0.0080634696620596,0.2939093142100935,1.0000000000000000,0,10
BiSCOP-CMOEA,LIRCMOP9,LIR-CMOP,0.2273368947200533,0.2273368947200533,0.4330491013436533,1.0000000000000000,0,10
BiSCOP-CMOEA,LIRCMOP10,LIR-CMOP,0.0646287935505130,0.0646287935505130,0.6791805289095407,1.0000000000000000,0,10
BiSCOP-CMOEA,LIRCMOP11,LIR-CMOP,0.0478647550165531,0.0478647550165531,0.6711105626835934,1.0000000000000000,0,10
BiSCOP-CMOEA,LIRCMOP12,LIR-CMOP,0.1061969172403359,0.1061969172403359,0.5730136975768001,1.0000000000000000,0,10
