config,algorithm,problem,suite,N,maxFE,run,seed,finishedFE,runtime,IGD,HV,Feasible_rate,file
"s09_biscop_confirmation","BiSCOP-CMOEA","CF10","CF",100,100000,10,310010,100000,35.3478,0.3837741801832446,0.1519667775761044,1,"BiSCOP_CMOEA_CF10_N100_FE100000_run10_seed310010.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF10","CF",100,100000,1,310001,100000,35.5103,0.3839295825897275,0.1531609278702477,1,"BiSCOP_CMOEA_CF10_N100_FE100000_run1_seed310001.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF10","CF",100,100000,2,310002,100000,39.1571,0.3271586467916488,0.2061701948213034,1,"BiSCOP_CMOEA_CF10_N100_FE100000_run2_seed310002.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF10","CF",100,100000,3,310003,100000,16.2206,0.1810968117641706,0.3256911687846154,1,"BiSCOP_CMOEA_CF10_N100_FE100000_run3_seed310003.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF10","CF",100,100000,4,310004,100000,36.7245,0.3567141367910102,0.2077010402455691,1,"BiSCOP_CMOEA_CF10_N100_FE100000_run4_seed310004.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF10","CF",100,100000,5,310005,100000,17.3538,0.47019139363441,0.1287767164822307,1,"BiSCOP_CMOEA_CF10_N100_FE100000_run5_seed310005.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF10","CF",100,100000,6,310006,100000,36.1035,0.3098928615866558,0.2382612618299301,1,"BiSCOP_CMOEA_CF10_N100_FE100000_run6_seed310006.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF10","CF",100,100000,7,310007,100000,36.9182,0.3142231443210425,0.2008918585857832,1,"BiSCOP_CMOEA_CF10_N100_FE100000_run7_seed310007.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF10","CF",100,100000,8,310008,100000,36.5447,0.3337673281312963,0.1741485805060085,1,"BiSCOP_CMOEA_CF10_N100_FE100000_run8_seed310008.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF10","CF",100,100000,9,310009,100000,34.8042,0.3294535851699372,0.1926492976461266,1,"BiSCOP_CMOEA_CF10_N100_FE100000_run9_seed310009.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF1","CF",100,100000,10,309110,100000,15.2146,0.002501165415725121,0.5630582480671733,1,"BiSCOP_CMOEA_CF1_N100_FE100000_run10_seed309110.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF1","CF",100,100000,1,309101,100000,14.0641,0.002735960383263554,0.5627744754843298,1,"BiSCOP_CMOEA_CF1_N100_FE100000_run1_seed309101.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF1","CF",100,100000,2,309102,100000,15.4764,0.002026965634875513,0.5636294800437626,1,"BiSCOP_CMOEA_CF1_N100_FE100000_run2_seed309102.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF1","CF",100,100000,3,309103,100000,14.0038,0.002757349208593869,0.5627678050982107,1,"BiSCOP_CMOEA_CF1_N100_FE100000_run3_seed309103.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF1","CF",100,100000,4,309104,100000,14.9614,0.002848018709374749,0.5626388401909851,1,"BiSCOP_CMOEA_CF1_N100_FE100000_run4_seed309104.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF1","CF",100,100000,5,309105,100000,14.0315,0.003193249200645484,0.5622120462210197,1,"BiSCOP_CMOEA_CF1_N100_FE100000_run5_seed309105.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF1","CF",100,100000,6,309106,100000,14.5549,0.002459773038414953,0.5631036475740853,1,"BiSCOP_CMOEA_CF1_N100_FE100000_run6_seed309106.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF1","CF",100,100000,7,309107,100000,14.6196,0.002109773729085627,0.5635525940387343,1,"BiSCOP_CMOEA_CF1_N100_FE100000_run7_seed309107.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF1","CF",100,100000,8,309108,100000,14.7048,0.002999846663186806,0.5624734053311535,1,"BiSCOP_CMOEA_CF1_N100_FE100000_run8_seed309108.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF1","CF",100,100000,9,309109,100000,13.9052,0.002655380211705446,0.562873510431661,1,"BiSCOP_CMOEA_CF1_N100_FE100000_run9_seed309109.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF2","CF",100,100000,10,309210,100000,15.0421,0.00869258204493693,0.6706498373979399,1,"BiSCOP_CMOEA_CF2_N100_FE100000_run10_seed309210.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF2","CF",100,100000,1,309201,100000,14.8126,0.02211510835039756,0.6618252552541828,1,"BiSCOP_CMOEA_CF2_N100_FE100000_run1_seed309201.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF2","CF",100,100000,2,309202,100000,14.0067,0.01519787352368038,0.6654297732623565,1,"BiSCOP_CMOEA_CF2_N100_FE100000_run2_seed309202.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF2","CF",100,100000,3,309203,100000,14.5454,0.007969487111702913,0.6696967433198311,1,"BiSCOP_CMOEA_CF2_N100_FE100000_run3_seed309203.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF2","CF",100,100000,4,309204,100000,14.7644,0.01607735681920309,0.66510513244363,1,"BiSCOP_CMOEA_CF2_N100_FE100000_run4_seed309204.mat"
"s09_biscop_confirmation","BiSCOP-CMOEA","CF2","CF",100,100000,5,309205,100000,14.2832,0.005472115501985437,0.6743777120252189,1,"BiSCOP_CMOEA_CF2_N100_FE100000_run5_seed309205.mat"
