config,algorithm,problem,suite,N,maxFE,run,seed,finishedFE,runtime,IGD,HV,Feasible_rate,file
"s10_platemo_screen","AGE-MOEA-II","CF10","CF",100,100000,1,272001,100000,8.8085,NaN,NaN,0,"AGE_MOEA_II_CF10_N100_FE100000_run1_seed272001.mat"
"s10_platemo_screen","AGE-MOEA-II","CF10","CF",100,100000,2,272002,100000,4.5649,NaN,NaN,0,"AGE_MOEA_II_CF10_N100_FE100000_run2_seed272002.mat"
"s10_platemo_screen","AGE-MOEA-II","CF10","CF",100,100000,3,272003,100000,3.6479,NaN,NaN,0,"AGE_MOEA_II_CF10_N100_FE100000_run3_seed272003.mat"
"s10_platemo_screen","AGE-MOEA-II","CF10","CF",100,100000,4,272004,100000,6.4929,NaN,NaN,0,"AGE_MOEA_II_CF10_N100_FE100000_run4_seed272004.mat"
"s10_platemo_screen","AGE-MOEA-II","CF10","CF",100,100000,5,272005,100000,4.8371,NaN,NaN,0,"AGE_MOEA_II_CF10_N100_FE100000_run5_seed272005.mat"
"s10_platemo_screen","AGE-MOEA-II","CF1","CF",100,100000,1,271101,100000,3.8849,0.02043235774052259,0.5416597977418595,1,"AGE_MOEA_II_CF1_N100_FE100000_run1_seed271101.mat"
"s10_platemo_screen","AGE-MOEA-II","CF1","CF",100,100000,2,271102,100000,4.1324,0.02094799494040281,0.5396407181153642,1,"AGE_MOEA_II_CF1_N100_FE100000_run2_seed271102.mat"
"s10_platemo_screen","AGE-MOEA-II","CF1","CF",100,100000,3,271103,100000,3.6477,0.02344005565840357,0.5366405512777909,1,"AGE_MOEA_II_CF1_N100_FE100000_run3_seed271103.mat"
"s10_platemo_screen","AGE-MOEA-II","CF1","CF",100,100000,4,271104,100000,4.8125,0.0222771993206075,0.5380661174805337,1,"AGE_MOEA_II_CF1_N100_FE100000_run4_seed271104.mat"
"s10_platemo_screen","AGE-MOEA-II","CF1","CF",100,100000,5,271105,100000,3.0103,0.02045690256395734,0.5408147480025757,1,"AGE_MOEA_II_CF1_N100_FE100000_run5_seed271105.mat"
"s10_platemo_screen","AGE-MOEA-II","CF2","CF",100,100000,1,271201,100000,8.1974,0.03093551421207389,0.6371546677103396,1,"AGE_MOEA_II_CF2_N100_FE100000_run1_seed271201.mat"
"s10_platemo_screen","AGE-MOEA-II","CF2","CF",100,100000,2,271202,100000,10.3081,0.04293787592661818,0.6365301936563128,1,"AGE_MOEA_II_CF2_N100_FE100000_run2_seed271202.mat"
"s10_platemo_screen","AGE-MOEA-II","CF2","CF",100,100000,3,271203,100000,6.9726,0.03536379860667619,0.6338472951161427,1,"AGE_MOEA_II_CF2_N100_FE100000_run3_seed271203.mat"
"s10_platemo_screen","AGE-MOEA-II","CF2","CF",100,100000,4,271204,100000,6.3838,0.06925773806031793,0.5511573997650525,1,"AGE_MOEA_II_CF2_N100_FE100000_run4_seed271204.mat"
"s10_platemo_screen","AGE-MOEA-II","CF2","CF",100,100000,5,271205,100000,7.5468,0.1131774133354417,0.5321282771105462,1,"AGE_MOEA_II_CF2_N100_FE100000_run5_seed271205.mat"
"s10_platemo_screen","AGE-MOEA-II","CF3","CF",100,100000,1,271301,100000,1.6912,0.274806595336088,0.1410498924486111,1,"AGE_MOEA_II_CF3_N100_FE100000_run1_seed271301.mat"
"s10_platemo_screen","AGE-MOEA-II","CF3","CF",100,100000,2,271302,100000,1.3257,0.2506299305654347,0.1562611052533937,1,"AGE_MOEA_II_CF3_N100_FE100000_run2_seed271302.mat"
"s10_platemo_screen","AGE-MOEA-II","CF3","CF",100,100000,3,271303,100000,1.5481,0.1253535069589156,0.2402972477601309,1,"AGE_MOEA_II_CF3_N100_FE100000_run3_seed271303.mat"
"s10_platemo_screen","AGE-MOEA-II","CF3","CF",100,100000,4,271304,100000,1.6509,0.1935234009984067,0.1771646935177716,1,"AGE_MOEA_II_CF3_N100_FE100000_run4_seed271304.mat"
"s10_platemo_screen","AGE-MOEA-II","CF3","CF",100,100000,5,271305,100000,2.4679,0.2319390739001446,0.1316118228390866,1,"AGE_MOEA_II_CF3_N100_FE100000_run5_seed271305.mat"
"s10_platemo_screen","AGE-MOEA-II","CF4","CF",100,100000,1,271401,100000,8.5445,0.08098868542829277,0.4332400381709596,1,"AGE_MOEA_II_CF4_N100_FE100000_run1_seed271401.mat"
"s10_platemo_screen","AGE-MOEA-II","CF4","CF",100,100000,2,271402,100000,5.9469,0.09632930213300779,0.4147085537550981,1,"AGE_MOEA_II_CF4_N100_FE100000_run2_seed271402.mat"
"s10_platemo_screen","AGE-MOEA-II","CF4","CF",100,100000,3,271403,100000,8.2245,0.1054406071520296,0.4123527625379715,1,"AGE_MOEA_II_CF4_N100_FE100000_run3_seed271403.mat"
"s10_platemo_screen","AGE-MOEA-II","CF4","CF",100,100000,4,271404,100000,6.647,0.1358276318379968,0.3636571166508194,1,"AGE_MOEA_II_CF4_N100_FE100000_run4_seed271404.mat"
"s10_platemo_screen","AGE-MOEA-II","CF4","CF",100,100000,5,271405,100000,7.5692,0.143425678824398,0.3540211188678817,1,"AGE_MOEA_II_CF4_N100_FE100000_run5_seed271405.mat"
"s10_platemo_screen","AGE-MOEA-II","CF5","CF",100,100000,1,271501,100000,4.5368,0.2412372153271528,0.3372647921395537,1,"AGE_MOEA_II_CF5_N100_FE100000_run1_seed271501.mat"
"s10_platemo_screen","AGE-MOEA-II","CF5","CF",100,100000,2,271502,100000,7.4019,0.2103210067437749,0.3240956483385585,1,"AGE_MOEA_II_CF5_N100_FE100000_run2_seed271502.mat"
"s10_platemo_screen","AGE-MOEA-II","CF5","CF",100,100000,3,271503,100000,5.052,0.1777784443136507,0.3361932818362511,1,"AGE_MOEA_II_CF5_N100_FE100000_run3_seed271503.mat"
"s10_platemo_screen","AGE-MOEA-II","CF5","CF",100,100000,4,271504,100000,5.4001,0.3188329992722003,0.3048758515018044,1,"AGE_MOEA_II_CF5_N100_FE100000_run4_seed271504.mat"
"s10_platemo_screen","AGE-MOEA-II","CF5","CF",100,100000,5,271505,100000,4.5233,0.1938624664208868,0.3159021496410251,1,"AGE_MOEA_II_CF5_N100_FE100000_run5_seed271505.mat"
"s10_platemo_screen","AGE-MOEA-II","CF6","CF",100,100000,1,271601,100000,8.2977,0.1311108646475189,0.6314955432743102,1,"AGE_MOEA_II_CF6_N100_FE100000_run1_seed271601.mat"
"s10_platemo_screen","AGE-MOEA-II","CF6","CF",100,100000,2,271602,100000,6.7627,0.08084148084583385,0.630704841217431,1,"AGE_MOEA_II_CF6_N100_FE100000_run2_seed271602.mat"
"s10_platemo_screen","AGE-MOEA-II","CF6","CF",100,100000,3,271603,100000,11.0078,0.1085940735021024,0.6093481082955252,1,"AGE_MOEA_II_CF6_N100_FE100000_run3_seed271603.mat"
"s10_platemo_screen","AGE-MOEA-II","CF6","CF",100,100000,4,271604,100000,6.6427,0.06111285945488767,0.6577482719844775,1,"AGE_MOEA_II_CF6_N100_FE100000_run4_seed271604.mat"
"s10_platemo_screen","AGE-MOEA-II","CF6","CF",100,100000,5,271605,100000,8.9571,0.09704424524009944,0.6419852630333029,1,"AGE_MOEA_II_CF6_N100_FE100000_run5_seed271605.mat"
"s10_platemo_screen","AGE-MOEA-II","CF7","CF",100,100000,1,271701,100000,7.3604,0.3463517327083696,0.4006413029574639,1,"AGE_MOEA_II_CF7_N100_FE100000_run1_seed271701.mat"
"s10_platemo_screen","AGE-MOEA-II","CF7","CF",100,100000,2,271702,100000,9.9818,0.4622586884785781,0.3633987781261396,1,"AGE_MOEA_II_CF7_N100_FE100000_run2_seed271702.mat"
"s10_platemo_screen","AGE-MOEA-II","CF7","CF",100,100000,3,271703,100000,4.2364,0.2550341210812191,0.5174914253669595,1,"AGE_MOEA_II_CF7_N100_FE100000_run3_seed271703.mat"
"s10_platemo_screen","AGE-MOEA-II","CF7","CF",100,100000,4,271704,100000,8.6721,0.8076956609807194,0.09775228217479774,1,"AGE_MOEA_II_CF7_N100_FE100000_run4_seed271704.mat"
