config,algorithm,problem,suite,N,maxFE,run,seed,finishedFE,runtime,IGD,HV,Feasible_rate,file
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,10,332010,100024,206.1105,0.3317483854668603,0.1646908552219104,1,"CMOEA_AOP_CF10_N100_FE100000_run10_seed332010.mat"
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,11,332011,100066,199.5409,0.3962399733641067,0.1481358135476067,1,"CMOEA_AOP_CF10_N100_FE100000_run11_seed332011.mat"
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,12,332012,100164,217.0917,0.3818069781032393,0.1428487625680525,1,"CMOEA_AOP_CF10_N100_FE100000_run12_seed332012.mat"
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,13,332013,100078,242.959,0.2976554285157613,0.181846075995988,1,"CMOEA_AOP_CF10_N100_FE100000_run13_seed332013.mat"
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,14,332014,100106,254.3775,0.3558465388385136,0.1506701953728968,1,"CMOEA_AOP_CF10_N100_FE100000_run14_seed332014.mat"
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,15,332015,100020,395.0077,0.4031296208715401,0.1296967575341075,1,"CMOEA_AOP_CF10_N100_FE100000_run15_seed332015.mat"
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,16,332016,100054,211.8984,0.3474550172058375,0.2029770796297791,1,"CMOEA_AOP_CF10_N100_FE100000_run16_seed332016.mat"
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,17,332017,100090,304.0274,0.722346995551176,0.09063737446726243,1,"CMOEA_AOP_CF10_N100_FE100000_run17_seed332017.mat"
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,18,332018,100060,265.5792,0.1372775276389691,0.3335513129581822,1,"CMOEA_AOP_CF10_N100_FE100000_run18_seed332018.mat"
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,19,332019,100196,252.691,0.3118927444077614,0.205428830744893,1,"CMOEA_AOP_CF10_N100_FE100000_run19_seed332019.mat"
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,1,332001,100212,230.8352,0.3548895948021784,0.1563096358364394,1,"CMOEA_AOP_CF10_N100_FE100000_run1_seed332001.mat"
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,20,332020,100184,258.3288,0.1459762692227791,0.335951434390976,1,"CMOEA_AOP_CF10_N100_FE100000_run20_seed332020.mat"
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,21,332021,100102,207.4273,0.4425346263996011,0.1005680299820016,1,"CMOEA_AOP_CF10_N100_FE100000_run21_seed332021.mat"
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,22,332022,100178,231.5144,0.3548725901030816,0.1292127312693414,1,"CMOEA_AOP_CF10_N100_FE100000_run22_seed332022.mat"
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,23,332023,100134,196.5875,0.3355924051820846,0.1814950945762983,1,"CMOEA_AOP_CF10_N100_FE100000_run23_seed332023.mat"
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,24,332024,100196,274.7512,0.1783761778083022,0.2771079593847758,1,"CMOEA_AOP_CF10_N100_FE100000_run24_seed332024.mat"
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,25,332025,100122,217.0728,0.3652975791188246,0.1470479058474529,1,"CMOEA_AOP_CF10_N100_FE100000_run25_seed332025.mat"
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,26,332026,100156,180.8144,0.4374533161286431,0.1267168663243629,1,"CMOEA_AOP_CF10_N100_FE100000_run26_seed332026.mat"
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,27,332027,100018,208.7572,0.3941666451520957,0.1403360105991492,1,"CMOEA_AOP_CF10_N100_FE100000_run27_seed332027.mat"
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,28,332028,100178,242.0437,0.1301024292136714,0.32849687995,1,"CMOEA_AOP_CF10_N100_FE100000_run28_seed332028.mat"
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,29,332029,100142,206.9239,0.2986068958479145,0.2479440668375186,1,"CMOEA_AOP_CF10_N100_FE100000_run29_seed332029.mat"
"s11_main_30run","CMOEA-AOP","CF10","CF",100,100000,2,332002,100076,225.3288,0.3193308974849253,0.2023080657326006,1,"CMOEA_AOP_CF10_N100_FE100000_run2_seed332002.mat"
